corvid::Value	WHERE	MAPPED	the PHP value mapping (null/bool/int/float/string Text/Corvid\Bytes/Corvid\Vector/array/Map)	golden:values.txt:VTYPE
corvid::Value::Null	WHERE	MAPPED	the PHP value mapping (null/bool/int/float/string Text/Corvid\Bytes/Corvid\Vector/array/Map)	golden:values.txt:VTYPE
corvid::Value::Bool	WHERE	MAPPED	the PHP value mapping (null/bool/int/float/string Text/Corvid\Bytes/Corvid\Vector/array/Map)	golden:values.txt:VTYPE
corvid::Value::Int	WHERE	MAPPED	the PHP value mapping (null/bool/int/float/string Text/Corvid\Bytes/Corvid\Vector/array/Map)	golden:values.txt:VTYPE
corvid::Value::Float	WHERE	MAPPED	the PHP value mapping (null/bool/int/float/string Text/Corvid\Bytes/Corvid\Vector/array/Map)	golden:values.txt:VTYPE
corvid::Value::Text	WHERE	MAPPED	the PHP value mapping (null/bool/int/float/string Text/Corvid\Bytes/Corvid\Vector/array/Map)	golden:values.txt:VTYPE
corvid::Value::Bytes	WHERE	MAPPED	the PHP value mapping (null/bool/int/float/string Text/Corvid\Bytes/Corvid\Vector/array/Map)	golden:values.txt:VTYPE
corvid::Value::Array	WHERE	MAPPED	the PHP value mapping (null/bool/int/float/string Text/Corvid\Bytes/Corvid\Vector/array/Map)	golden:values.txt:VTYPE
corvid::Value::Map	WHERE	MAPPED	the PHP value mapping (null/bool/int/float/string Text/Corvid\Bytes/Corvid\Vector/array/Map)	golden:values.txt:VTYPE
corvid::Value::Vector	WHERE	MAPPED	the PHP value mapping (null/bool/int/float/string Text/Corvid\Bytes/Corvid\Vector/array/Map)	golden:values.txt:VTYPE
corvid::value::MAX_NESTING	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::encode	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::decode	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::get	WHERE	N/A	N/A	nested-path reads are native array traversal over decoded documents
corvid::Value::get_path	WHERE	N/A	N/A	nested-path reads are native array traversal over decoded documents
corvid::Value::as_bool	WHERE	MAPPED	Corvid\Values::asBool() — null on wrong type (the engine Option convention)	golden:values.txt:VAS_BOOL
corvid::Value::as_int	WHERE	MAPPED	Corvid\Values::asInt() — null on wrong type (the engine Option convention)	golden:values.txt:VAS_INT
corvid::Value::as_float	WHERE	MAPPED	Corvid\Values::asFloat() — null on wrong type; NaN/±INF/-0.0 bit-exact	golden:values.txt:VAS_FLOAT
corvid::Value::as_text	WHERE	MAPPED	Corvid\Values::asText() — null on wrong type (the _ref reads through the mapping)	golden:values.txt:VTEXT_REF
corvid::Value::as_bytes	WHERE	MAPPED	Corvid\Values::asBytes() — binary-safe Corvid\Bytes, null on wrong type	golden:values.txt:VBYTES_REF
corvid::Value::as_vector	WHERE	MAPPED	Corvid\Values::asVector() — f32-payload Corvid\Vector, null on wrong type	golden:values.txt:VVECTOR_REF
corvid::CmpOp	WHERE	MAPPED	FieldExpr.Eq/Ne/Lt/Le/Gt/Ge	golden:queries.txt:QF_*
corvid::CmpOp::Eq	WHERE	MAPPED	FieldExpr.Eq/Ne/Lt/Le/Gt/Ge	golden:queries.txt:QF_*
corvid::CmpOp::Ne	WHERE	MAPPED	FieldExpr.Eq/Ne/Lt/Le/Gt/Ge	golden:queries.txt:QF_*
corvid::CmpOp::Lt	WHERE	MAPPED	FieldExpr.Eq/Ne/Lt/Le/Gt/Ge	golden:queries.txt:QF_*
corvid::CmpOp::Le	WHERE	MAPPED	FieldExpr.Eq/Ne/Lt/Le/Gt/Ge	golden:queries.txt:QF_*
corvid::CmpOp::Gt	WHERE	MAPPED	FieldExpr.Eq/Ne/Lt/Le/Gt/Ge	golden:queries.txt:QF_*
corvid::CmpOp::Ge	WHERE	MAPPED	FieldExpr.Eq/Ne/Lt/Le/Gt/Ge	golden:queries.txt:QF_*
corvid::Predicate	WHERE	MAPPED	Corvid\Field eq/ne/lt/le/gt/ge/in/between/startsWith/contains/geoWithin/exists + Predicate and()/or()/not()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Compare	WHERE	MAPPED	Corvid\Field eq/ne/lt/le/gt/ge/in/between/startsWith/contains/geoWithin/exists + Predicate and()/or()/not()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Exists	WHERE	MAPPED	Corvid\Field eq/ne/lt/le/gt/ge/in/between/startsWith/contains/geoWithin/exists + Predicate and()/or()/not()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::In	WHERE	MAPPED	Corvid\Field eq/ne/lt/le/gt/ge/in/between/startsWith/contains/geoWithin/exists + Predicate and()/or()/not()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Between	WHERE	MAPPED	Corvid\Field eq/ne/lt/le/gt/ge/in/between/startsWith/contains/geoWithin/exists + Predicate and()/or()/not()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::StartsWith	WHERE	MAPPED	Corvid\Field eq/ne/lt/le/gt/ge/in/between/startsWith/contains/geoWithin/exists + Predicate and()/or()/not()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Contains	WHERE	MAPPED	Corvid\Field eq/ne/lt/le/gt/ge/in/between/startsWith/contains/geoWithin/exists + Predicate and()/or()/not()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::GeoWithin	Geo	MAPPED	Corvid\Field eq/ne/lt/le/gt/ge/in/between/startsWith/contains/geoWithin/exists + Predicate and()/or()/not()	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
